domain	category	complaint_score	reason
doubleclick.net	tracker	10	Popular complaint — invasive ad tracking
googlesyndication.com	ad_network	9	Third-party ad injection
googleadservices.com	ad_network	9	Complained-about ad delivery
pagead2.googlesyndication.com	ad_network	9	Embedded ad frames
adservice.google.com	ad_network	8	Ad service calls
outbrain.com	content_spam	10	"Recommended" clickbait widgets
taboola.com	content_spam	10	"Around the web" spam boxes
popads.net	popup	10	Aggressive pop-under network
popcash.net	popup	10	Pop-up / pop-under ads
propellerads.com	popup	9	Full-screen and pop ads
exoclick.com	popup	9	Adult/popup ad network
onclickads.net	popup	9	Click hijack popups
adnxs.com	tracker	8	Programmatic ad tracker (AppNexus)
criteo.com	tracker	8	Retargeting — commonly complained about
scorecardresearch.com	tracker	8	ComScore tracking
quantserve.com	tracker	7	Quantcast measurement
moatads.com	tracker	7	Ad viewability tracker
amazon-adsystem.com	ad_network	7	Third-party Amazon ads (not shopping)
ads-twitter.com	ad_network	7	Promoted content injection
ads.facebook.com	ad_network	8	Social ad network calls
blockadblock.com	lockout	10	Anti-adblock wall scripts — not the site owner
adblockanalytics.com	lockout	10	Forces disable or leave
detectadblock.com	lockout	10	Ad-block detection overlays
fuckadblock.com	lockout	10	Adblock wall / lockout
adrecover.com	lockout	9	Subscription nag overlays
popup-maker.com	popup	9	Generic popup overlay service
sumome.com	popup	8	Newsletter / signup popups
optinmonster.com	popup	8	Email capture popups
privy.com	popup	8	Marketing popup widgets
hellobar.com	popup	8	Top-bar newsletter nag
addthis.com	social_widget	7	Social share clutter
sharethis.com	social_widget	7	Social widget injection
disqusads.com	ad_network	7	Comment section ad injection
adsafeprotected.com	tracker	6	Ad verification (third-party)
2mdn.net	video_ad	8	Unskippable video ad CDN
innovid.com	video_ad	7	Video ad overlay network
spotxchange.com	video_ad	7	Video ad exchange
